ppd_id,PlanName,fy,InflationAssumption_GASB,InvestmentReturnAssumption_GASB,UAALAmortPeriod_GASB,BlendedDiscountRate,ActAssets_GASB,MktAssets_Smooth,MktAssets_net,ActLiabilities_GASB,ActFundedRatio_GASB,UAAL_GASB,payroll,RequiredContribution,PercentReqContPaid,InvestmentReturn_1yr
6,Arizona SRS,2008,0,0,30,,26613000,,24717187,32425000,1,5812000,9708000,759172,1,0
6,Arizona SRS,2009,0,0,30,,27094000,,19880453,34290000,1,7196000,9835000,753910,1,0
6,Arizona SRS,2010,0,0,30,,27572000,,22146960,36073000,1,8501000,9420000,763005,1,0
6,Arizona SRS,2011,0,0,30,,27984000,,26839223,37051000,1,9067000,9061000,786581,1,0
6,Arizona SRS,2012,0,0,30,,28948000,,26402094,38450000,1,9502000,8869000,852108,1,0
6,Arizona SRS,2013,0,0,30,,30111000,28677043,29025430,39912000,1,9801000,8753000,911255,1,0
6,Arizona SRS,2014,0,0,30,0,31548000,33337147,33693705,41349000,1,9801000,8909000,965930,1,0
6,Arizona SRS,2015,0,0,30,0,33113000,33329079,33645646,42968000,1,9855000,9072000,1004711,1,0
6,Arizona SRS,2016,0,0,30,,35761373,32586839,32859791,46104925,1,10343551,9263859,990072,1,0
7,Arkansas PERS,2001,0,0,30,,4342000,,4014116,4111000,1,-231000,1070000,100925,1,0
7,Arkansas PERS,2002,0,0,30,,4404000,,3740821,4398000,1,-6000,1112000,109037,1,0
7,Arkansas PERS,2003,0,0,30,,4416000,,3882663,4674000,1,258000,1148000,115691,1,0
7,Arkansas PERS,2004,0,0,30,,4438000,,4306846,5005000,1,567000,1176000,118419,1,0
7,Arkansas PERS,2005,0,0,22,,4584000,,4640778,5323000,1,739000,1215000,135027,1,0
7,Arkansas PERS,2006,0,0,19,,4949000,,5135503,5936000,1,987000,1267000,158152,1,0
7,Arkansas PERS,2007,0,0,18,,5498000,,5970244,6174000,1,676000,1303000,163224,1,0
7,Arkansas PERS,2008,0,0,14,,5866000,,5638452,6543000,1,677000,1380000,173462,1,0
7,Arkansas PERS,2009,0,0,30,,5413000,,4349813,6938000,1,1525000,1434000,159232,1,0
7,Arkansas PERS,2010,0,0,27,,5409000,,4728500,7304000,1,1895000,1523000,169604,1,0
7,Arkansas PERS,2011,0,0,26,,5467000,,5801921,7734000,1,2267000,1623000,195629,1,0
7,Arkansas PERS,2012,0,0,25,,5625000,,5692416,8163000,1,2538000,1686000,229631,1,0
7,Arkansas PERS,2013,0,0,22,,6159000,6418519,6434471,8284000,1,2125000,1693000,249541,1,0
7,Arkansas PERS,2014,0,0,21,0,6895000,7512167,7531190,8864000,1,1969000,1745000,262301,1,0
7,Arkansas PERS,2015,0,0,25,0,7352000,7530670,7549993,9295000,1,1943000,1645000,263300,1,0
7,Arkansas PERS,2016,0,0,21,0,7769000,7350772,7370324,9663000,1,1894000,1686500,264200,1,0
8,Arkansas Teachers,2001,0,0,22,,8166000,,7642866,8561000,1,395000,1557000,178250,1,0
8,Arkansas Teachers,2002,0,0,38,,8328000,,7084325,9062000,1,734000,1628000,186854,1,0
8,Arkansas Teachers,2003,0,0,36,,8113000,,7050356,9445000,1,1332000,1683000,195361,1,0
8,Arkansas Teachers,2004,,0,31,,8424000,,8122004,10050000,1,1626000,1748000,218837,1,0
8,Arkansas Teachers,2005,,0,30,,8817000,,8811147,10973000,1,2156000,1962000,244679,1,0
8,Arkansas Teachers,2006,,0,36,,9332000,,9868312,11623000,1,2291000,2080000,285635,1,0
8,Arkansas Teachers,2007,,0,19,,10519000,,11636935,12329000,1,1810000,2191000,321664,1,0
8,Arkansas Teachers,2008,,0,21,,11319000,,11018088,13334000,1,2015000,2268000,343986,1,0
8,Arkansas Teachers,2009,,0,45,,10617000,,8802987,14019000,1,3402000,2318000,344033,1,0
8,Arkansas Teachers,2010,,0,52,,10845000,,9883574,14697000,1,3852000,2381000,362850,1,0
8,Arkansas Teachers,2011,,0,66,,11146000,11894877,11894877,15521000,1,4375000,2728000,417319,1,0
8,Arkansas Teachers,2012,,0,100,,11484000,11483886,11483886,16139000,1,4655000,2714000,443649,1,0
8,Arkansas Teachers,2013,,0,70,,12247000,12829566,12829566,16718000,1,4471000,2727000,452142,1,0
8,Arkansas Teachers,2014,,0,39,0,13375000,14856277,14856277,17310000,1,3935000,2850860,478945,1,0
8,Arkansas Teachers,2015,,0,30,0,14433824,15035701,15035701,18136044,1,3702220,2873888,468460,1,0
